ID,Artist,Title,Year,MP3 Avaliable,Link,Style-Katie,Notes,Superlike,Random,filename,mp3s,wav
805,Erroll Garner,Stairway To The Stars,1947.0,Online,http://www.jazz-on-line.com/a/mp3d/RCAD7VB-0517.mp3,None,piano,,2222,0805-None,0805-None.mp3,
1092,Cliff Jackson,Tea For Two,1945.0,Online,http://www.jazz-on-line.com/a/mp5c/DIS6009TFT.mp3,None,fast piano,,1007,1092-None,1092-None.mp3,
2122,Gladys Swarthout,Give Me One Hour,1944.0,Online,http://www.jazz-on-line.com/a/mp3e/V-D100B.mp3,None,musical,,2335,2122-None,2122-None.mp3,
2145,Perry Como And The Fontane Sisters Feat. Sigmund Romberg Orchestra,Zing Zing-Zoom Zoom,1951.0,Online,http://www.jazz-on-line.com/a/mp3z/1951_089.mp3,None,musical,,937,2145-None,2145-None.mp3,
2044,Tony Martin,Here,1954.0,Online,http://www.jazz-on-line.com/a/mp3z/1954_029.mp3,None,musical,,2555,2044-None,2044-None.mp3,
2076,Roger Wolfe Kahn's Orchestra,All By My Lonesome,1927.0,Online,http://www.jazz-on-line.com/a/_inc/DH494076.mp3,Shag,,,2465,2076-Shag,2076-Shag.mp3,
2467,Bob Wills And His Texas Playboys,I Won't Be Back Tonight,1952.0,Online,http://www.jazz-on-line.com/a/mp3a/MGM52S6035.mp3,None,singing,,1330,2467-None,2467-None.mp3,
836,Crazy Otto,Glad Rag Doll,1955.0,Online,http://www.jazz-on-line.com/a/mp3w/1955_144.mp3,Lindy,,,1927,0836-Lindy,0836-Lindy.mp3,
2749,Abe Lyman And His Californians,Let's Put The Ax To The Axis,1941.0,Online,http://www.jazz-on-line.com/a/mp4c/BLU068701.mp3,None,other,,2501,2749-None,2749-None.mp3,
2393,Billy Butterfield And His Orchestra,That Old Feeling,1947.0,Online,http://www.jazz-on-line.com/a/2c17/BB503379.mp3,None,too complex,,2809,2393-None,2393-None.mp3,
2954,Wayne King And His Orchestra,Sweethearts Forever,1932.0,Online,http://www.jazz-on-line.com/a/mp3b/VIC73321-2.mp3,None,other,,1535,2954-None,2954-None.mp3,
2138,Carroll Gibbons Orch,One Little Quarrel,1932.0,Online,http://www.jazz-on-line.com/a/2b17/DV510633.mp3,Lindy,not great,,2976,2138-Lindy,2138-Lindy.mp3,
2292,Fats Waller And His Rhythm,I'm On A See-Saw,1935.0,Online,http://www.jazz-on-line.com/a/mp4c/VIC92998-1.mp3,Blues,slow swing,,2873,2292-Blues,2292-Blues.mp3,
2502,Chicago Footwarmers,Brush Stomp,1928.0,Online,http://www.jazz-on-line.com/a/2017/ND511269.mp3,Shag,,,770,2502-Shag,2502-Shag.mp3,
2868,Morton's Red Hot Peppers,Doctor Jazz,1926.0,Online,http://www.jazz-on-line.com/a/mp3a/BLU37257-3.mp3,Charleston,,"Yes! - I haven't heard this before, adding to my playlist...",2824,2868-Charleston,2868-Charleston.mp3,
2665,The Original Memphis Five,Singin' The Blues,1957.0,Online,http://www.jazz-on-line.com/a/2014/DH495879.mp3,Lindy,,,1699,2665-Lindy,2665-Lindy.mp3,
2712,Starring Milt Jackson With Kenny Clarke's Sextet,French Licks [Hey Frenchy],1949.0,Online,http://www.jazz-on-line.com/a/2015/CL499213.mp3,None,too complex,,1445,2712-None,2712-None.mp3,
2367,Nat Shilkret And His Orchestra,Rain On The Roof,1932.0,Online,http://www.jazz-on-line.com/a/2c17/BB506221.mp3,Lindy,,,391,2367-Lindy,2367-Lindy.mp3,
2666,Bobby Hackett And His Orchestra,Singin The Blues,1940.0,Online,http://www.jazz-on-line.com/a/2c17/Ar504980.mp3,Blues,"not great, slow swing",,2504,2666-Blues,2666-Blues.mp3,
2444,Benny Goodman Sextet,Wholly Cats (Then),1949.0,Online,http://www.jazz-on-line.com/a/2c17/Ar505285.mp3,Lindy,quality,,1533,2444-Lindy,2444-Lindy.mp3,
2782,Thelonious Monk & Gerry Mulligan,"Straight, No Chaser (Alt. Take 1)",1957.0,Online,http://www.jazz-on-line.com/a/mp3t/TS481539.mp3,None,too complex,,1070,2782-None,2782-None.mp3,
2335,Helen Humes And Her All Stars,Central Avenue Boogie,1945.0,Online,http://www.jazz-on-line.com/a/2016/CL500590.mp3,Lindy,boogie woogie,,2946,2335-Lindy,2335-Lindy.mp3,
2505,Mills Blue Rhythm Band,The Moon Is Grinning At Me,1936.0,Online,http://www.jazz-on-line.com/a/mp3b/ColCO-20075-1.mp3,Lindy,,,440,2505-Lindy,2505-Lindy.mp3,
2948,Bunny Berigan And His Orchestra,Jazz Me Blues,1939.0,Online,http://www.jazz-on-line.com/a/mp5c/VIC035032.mp3,Balboa,,,1651,2948-Balboa,2948-Balboa.mp3,
2339,Ruby Smith With Gene (Honeybear) Sedric And His Orchestra,I'm Scared Of That Woman,1947.0,Online,http://www.jazz-on-line.com/a/2014/CL497481.mp3,Blues,traditional,,2769,2339-Blues,2339-Blues.mp3,
2856,Tommy Dorsey And His Sentimentalists,Quiet Please,1940.0,Online,http://www.jazz-on-line.com/a/mp4c/BLU051280-3.mp3,Balboa,not great,,1509,2856-Balboa,2856-Balboa.mp3,
2205,Duke Ellington And His Cotton Club Orchestra,Doin' The Voom Voom,1929.0,Online,http://www.jazz-on-line.com/a/mp3h/BruE-28939-A.mp3,Lindy,,"Yes! - I know the song, just not this version",1188,2205-Lindy,2205-Lindy.mp3,
2743,Sam Lanin's Famous Players With Bing Crosby,If I Had You,1929.0,Online,http://www.jazz-on-line.com/a/_inc/DH494733.mp3,None,other,,1540,2743-None,2743-None.mp3,
1867,Nat Shilkret And His Orchestra,Somebody From Somewhere,1931.0,Online,http://www.jazz-on-line.com/a/2c17/BB506218.mp3,None,other,,105,1867-None,1867-None.mp3,
2969,Abe Lyman & His Californians,Was It A Dream,1928.0,Online,http://www.jazz-on-line.com/a/2c17/BB505883.mp3,None,other,,2289,2969-None,2969-None.mp3,
1921,Dinah Shore,When Am I Gonna Kiss You Good Morning?,1947.0,Online,http://www.jazz-on-line.com/a/mp3z/1947_281.mp3,None,singing,,1302,1921-None,1921-None.mp3,
2478,Abe Lyman & His Californians,Down Where The Sun Goes Down,1928.0,Online,http://www.jazz-on-line.com/a/2c17/BB505882.mp3,None,other,,1197,2478-None,2478-None.mp3,
2689,Andrews Sisters,Boogie Woogie Bugle Boy,1941.0,Online,http://www.jazz-on-line.com/a/mp3o/DECDLA2326.mp3,None,singing,,208,2689-None,2689-None.mp3,
1107,Artie Shaw And His Orchestra,Stardust,1945.0,Online,http://www.jazz-on-line.com/a/2c17/Ar504424.mp3,Blues,slow swing,,1121,1107-Blues,1107-Blues.mp3,
2539,Bob Haring And His Orchestra,Dream Mother,1929.0,Online,http://www.jazz-on-line.com/a/2c17/DV506541.mp3,None,singing,,3039,2539-None,2539-None.mp3,
2207,Jimmie Lunceford And His Orchestra,Back Door Stuff,1944.0,Online,http://www.jazz-on-line.com/a/mp3y/1944_226.mp3,Lindy,,,274,2207-Lindy,2207-Lindy.mp3,
2345,Sarah Vaughan,Summertime,1949.0,Online,http://www.jazz-on-line.com/a/mp5c/COLCO42532.mp3,None,singing,,394,2345-None,2345-None.mp3,
2098,"Howard Hanson & The Eastman-Rochester Orchestra, Joseph Mariano, Flute",Soliloquy,1941.0,Online,http://www.jazz-on-line.com/a/_inc/DH494483.mp3,None,musical,,2762,2098-None,2098-None.mp3,
1267,Satchmo At Symphony Hall,Tea For Two (Pt.1),1947.0,Online,http://www.jazz-on-line.com/a/mp5c/DEC80365.mp3,Balboa,,,367,1267-Balboa,1267-Balboa.mp3,
2167,Phil Brito Feat. O/paul Lavalle,You Belong To My Heart,1944.0,Online,http://www.jazz-on-line.com/a/mp3y/1944_159.mp3,None,too slow,,858,2167-None,2167-None.mp3,
2203,Raymond Scott And His New Orchestra,Huckleberry Duck,1939.0,Online,http://www.jazz-on-line.com/a/mp3a/COL26315-B.mp3,Lindy,,,2761,2203-Lindy,2203-Lindy.mp3,
2515,Guy Lombardo Royal Canadians,Puleeze Mister Hemingway,1932.0,Online,http://www.jazz-on-line.com/a/mp3b/BRU12256-A.mp3,None,musical,,1344,2515-None,2515-None.mp3,
2278,Maxine Sullivan Acc By Claude Thornhill And His Orchestra,Please Be Kind,1938.0,Online,http://www.jazz-on-line.com/a/mp3b/Vic021055-2.mp3,None,too slow,,36,2278-None,2278-None.mp3,
2744,Gene Austin Feat. O/nat Shilkret,Little Pal,1929.0,Online,http://www.jazz-on-line.com/a/mp3x/1929_070.mp3,None,"quality, sining",,2593,2744-None,2744-None.mp3,
37,Glenn Miller And His Orchestra,I Know Why (And So Do You),1941.0,Online,http://www.jazz-on-line.com/a/mp3w/1941_179.mp3,None,singing,,2345,0037-None,,
2471,Little Richard,Rip It Up,1956.0,Online,http://www.jazz-on-line.com/a/mp3z/1956_126.mp3,Lindy,boogie woogie,,1506,2471-Lindy,2471-Lindy.mp3,
2952,Frank Luther (As Bud Billings) And Carson Robison,I'm Alone Because I Love You,1930.0,Online,http://www.jazz-on-line.com/a/mp3x/1931_107.mp3,None,other,,1214,2952-None,2952-None.mp3,
2498,Patti Page,Why Don't You Believe Me,1953.0,Online,http://www.jazz-on-line.com/a/mp3z/1953_034.mp3,None,musical,,799,2498-None,2498-None.mp3,
2610,Joe Venuti And His Blue Four,Tap Room Blues,1935.0,Online,http://www.jazz-on-line.com/a/2b17/BB507353.mp3,Charleston,quality,,1353,2610-Charleston,2610-Charleston.mp3,
1952,Rudy Vallee And His Connecticut Yankees,My Time Is Your Time,1929.0,Online,http://www.jazz-on-line.com/a/mp3x/1929_083.mp3,None,other,,2446,1952-None,1952-None.mp3,
2566,Nat Pierce And His Orchestra,Old Rev,1956.0,Online,http://www.jazz-on-line.com/a/2c17/BB505954.mp3,Lindy,,"Yes! - I haven't heard this before, adding to my playlist...",312,2566-Lindy,2566-Lindy.mp3,
2931,Frank Stokes,It Won't Be Long Now,1928.0,Online,http://www.jazz-on-line.com/a/mp3a/VIC45420-2.mp3,None,bluegrass,,1667,2931-None,2931-None.mp3,
